s,a,t,Stocks Bought,Stocks Sold
RenewableEnergies,11,3,0.0,0.0
RenewableEnergies,11,4,0.0,0.0
RenewableEnergies,11,5,0.0,0.0
RenewableEnergies,11,6,0.0,0.0
RenewableEnergies,12,1,0.0,0.0
RenewableEnergies,12,2,0.0,0.0
RenewableEnergies,12,3,0.0,0.0
RenewableEnergies,12,4,0.0,0.0
RenewableEnergies,12,5,0.0,0.0
RenewableEnergies,12,6,0.0,0.0
RenewableEnergies,13,1,0.0,0.0
RenewableEnergies,13,2,0.0,0.0
RenewableEnergies,13,3,0.0,0.0
RenewableEnergies,13,4,0.0,0.0
RenewableEnergies,13,5,0.0,0.0
RenewableEnergies,13,6,0.0,0.0
RenewableEnergies,14,1,0.0,0.0
RenewableEnergies,14,2,0.0,0.0
RenewableEnergies,14,3,0.0,0.0
RenewableEnergies,14,4,0.0,0.0
RenewableEnergies,14,5,0.0,0.0
RenewableEnergies,14,6,0.0,0.0
RenewableEnergies,15,1,0.0,0.0
RenewableEnergies,15,2,0.0,0.0
RenewableEnergies,15,3,0.0,0.0
RenewableEnergies,15,4,0.0,0.0
RenewableEnergies,15,5,0.0,0.0
RenewableEnergies,15,6,0.0,0.0
RenewableEnergies,16,1,0.0,0.0
RenewableEnergies,16,2,0.0,0.0
RenewableEnergies,16,3,0.0,0.0
RenewableEnergies,16,4,0.0,0.0
RenewableEnergies,16,5,0.0,0.0
RenewableEnergies,16,6,0.0,0.0
RenewableEnergies,17,1,0.0,0.0
RenewableEnergies,17,2,0.0,0.0
RenewableEnergies,17,3,0.0,0.0
RenewableEnergies,17,4,0.0,0.0
RenewableEnergies,17,5,0.0,0.0
RenewableEnergies,17,6,0.0,0.0
RenewableEnergies,18,1,0.0,0.0
RenewableEnergies,18,2,0.0,0.0
RenewableEnergies,18,3,0.0,0.0
RenewableEnergies,18,4,0.0,0.0
RenewableEnergies,18,5,0.0,0.0
RenewableEnergies,18,6,0.0,0.0
RenewableEnergies,19,1,0.0,0.0
RenewableEnergies,19,2,0.0,0.0
RenewableEnergies,19,3,0.0,0.0
RenewableEnergies,19,4,0.0,0.0
RenewableEnergies,19,5,0.0,0.0
RenewableEnergies,19,6,0.0,0.0
RenewableEnergies,20,1,0.0,0.0
RenewableEnergies,20,2,0.0,0.0
